order_id,order_date,customer_name,product,category,quantity,unit_price,region,total_amount
ORD0001,2025-05-21,Priya,Mouse,Electronics,4,23.62,North,94.48
ORD0002,2025-10-30,Priya,Backpack,Accessories,7,49.85,North,348.95
ORD0003,2025-09-16,Arjun,Monitor,Electronics,1,182.2,South,182.2
ORD0004,2025-08-18,Aarav,Notebook,Stationery,5,6.37,South,31.85
ORD0006,2025-07-14,Ananya,Mouse,Electronics,2,24.29,North,48.58
ORD0007,2025-01-23,Kiran,Headphones,Accessories,8,80.58,East,644.64
ORD0008,2025-11-18,Priya,Mouse,Electronics,6,25.39,North,152.34
ORD0009,2025-05-29,Priya,Laptop,Electronics,2,696.19,South,1392.38
ORD0010,2025-08-21,Ananya,Notebook,Stationery,6,5.6,East,33.6
ORD0011,2025-12-26,Rahul,Monitor,Electronics,2,183.93,East,367.86
ORD0012,2025-03-25,Arjun,Backpack,Accessories,8,53.67,South,429.36
ORD0014,2025-02-03,Meera,Notebook,Stationery,4,6.5,East,26.0
ORD0015,2025-12-02,Neha,Desk,Furniture,8,215.41,South,1723.28
ORD0016,2025-03-13,Arjun,Keyboard,Electronics,4,47.2,East,188.8
ORD0017,2025-10-26,Rahul,Desk Chair,Furniture,7,136.14,West,952.98
ORD0019,2025-11-02,Meera,Keyboard,Electronics,2,43.96,West,87.92
ORD0020,2025-10-11,Priya,Pen Set,Stationery,1,10.36,East,10.36
ORD0021,2025-11-25,Kiran,Backpack,Accessories,6,50.73,East,304.38
ORD0023,2025-11-17,Arjun,Backpack,Accessories,5,58.76,North,293.8
ORD0024,2025-03-20,Arjun,Headphones,Accessories,6,84.2,South,505.2
ORD0025,2025-11-03,Priya,Backpack,Accessories,6,54.87,North,329.22
ORD0026,2025-05-03,Meera,Desk,Furniture,1,208.6,East,208.6
ORD0027,2025-09-06,Arjun,Mouse,Electronics,2,27.39,North,54.78
ORD0028,2025-12-04,Rahul,Keyboard,Electronics,8,49.02,South,392.16
ORD0029,2025-04-19,Kiran,Desk Chair,Furniture,4,145.96,North,583.84
ORD0030,2025-09-22,Sneha,Desk,Furniture,8,203.32,West,1626.56
ORD0031,2025-01-11,Aarav,Mouse,Electronics,4,25.44,East,101.76
ORD0032,2025-04-28,Ananya,Mouse,Electronics,2,27.03,North,54.06
ORD0033,2025-05-23,Rahul,Mouse,Electronics,8,23.57,South,188.56
ORD0035,2025-12-04,Kiran,Mouse,Electronics,7,24.27,North,169.89
ORD0036,2025-12-11,Ananya,Pen Set,Stationery,2,9.12,North,18.24
ORD0037,2025-04-09,Rahul,Mouse,Electronics,4,25.18,South,100.72
ORD0038,2025-05-23,Priya,Notebook,Furniture,8,5.7,South,45.6
ORD0039,2025-01-26,Sneha,Pen Set,Stationery,1,10.94,North,10.94
ORD0040,2025-09-06,Kiran,Keyboard,Electronics,8,42.42,West,339.36
ORD0041,2025-07-14,Vikram,Laptop,Electronics,1,713.09,South,713.09
ORD0042,2025-08-05,Vikram,Pen Set,Stationery,8,9.31,East,74.48
ORD0043,2025-10-24,Aarav,Monitor,Electronics,1,188.93,North,188.93
ORD0044,2025-09-15,Arjun,Laptop,Electronics,3,592.39,West,1777.17
ORD0046,2025-10-19,Aarav,Notebook,Stationery,4,6.09,North,24.36
ORD0047,2025-08-03,Sneha,Headphones,Accessories,6,86.96,North,521.76
